# --- Points ---
E 493 394 505 418
E 493 394 535 399
E 494 583 522 563
E 494 212 507 200
E 494 55 506 56
E 495 121 530 129
E 495 387 526 367
E 498 334 531 356
E 499 462 504 419
E 499 462 509 476
E 500 33 506 56
E 500 33 545 51
E 504 419 505 418
E 505 418 541 427
E 506 56 530 70
E 507 200 507 200
E 507 200 510 199
E 509 476 513 475
E 510 174 510 199
E 510 174 537 140
E 510 199 532 206
E 511 281 532 276
E 511 281 542 348
E 513 475 515 476
E 513 475 541 427
E 515 476 549 507
E 515 476 579 476
E 518 529 526 547
E 518 529 533 520
E 519 -29 547 34
E 522 563 526 547
E 522 563 560 596
E 526 367 530 359
E 526 367 535 399
E 526 547 564 544
E 530 70 544 66
E 530 129 537 139
E 530 129 542 103
E 530 359 531 356
E 530 359 543 371
E 531 356 542 348
E 532 206 534 209
E 532 206 565 169
E 532 276 534 209
E 532 276 578 286
E 533 520 544 524
E 533 520 549 507
E 534 209 605 235
E 535 399 546 418
E 537 139 537 140
E 537 139 580 117
E 537 140 565 169
E 541 427 542 426
E 542 348 563 339
E 542 103 544 66
E 542 103 580 117
E 542 426 546 430
E 542 426 546 418
E 543 371 555 378
E 543 371 556 411
E 544 66 546 64
E 544 524 564 544
E 544 524 601 535
E 545 51 546 64
E 545 51 547 34
E 546 430 579 434
E 546 430 579 476
E 546 64 685 100
E 546 418 556 411
E 547 34 207285 -100000
E 549 507 616 496
E 555 378 561 408
E 555 378 588 369
E 556 411 561 408
E 560 596 593 542
E 560 596 4760 100000
E 561 408 573 405
E 563 339 578 286
E 563 339 589 368
E 564 544 593 542
E 565 169 569 169
E 569 169 605 235
E 569 169 681 101
E 573 405 574 404
E 573 405 579 434
E 574 404 588 369
E 574 404 731 495
E 578 286 637 262
E 579 434 678 500
E 579 476 616 496
E 580 117 681 101
E 588 369 589 368
E 589 368 2275 284
E 593 542 601 535
E 601 535 646 505
E 605 235 637 262
E 616 496 646 505
E 637 262 2275 284
E 646 505 678 500
E 678 500 731 495
E 681 101 685 100
E 685 100 823732 -100000
E 731 495 90719 1909
E 2275 284 90730 -133
